M,bucket,horizon_hours,count,mean,median,std,t_stat
720,"(.5,1%]",1,5438,0.0005772158725893695,0.0006932009127779137,0.020228710153790665,2.104212881880914
720,"(1,2%]",1,9115,0.001035152261706775,0.0008101309000980716,0.017407893639640893,5.677228147463973
720,"(2,5%]",1,26376,0.0003959911531849025,0.0005458834789880962,0.01563325038884002,4.113776252098101
720,"(25,75%]",1,366736,6.722366410023192e-05,4.362050371076176e-05,0.011768355070060937,3.459259872908244
720,"(5,25%]",1,163877,0.0002908743706007051,0.000352298749339397,0.013906481814834316,8.467343663992407
720,"(75,95%]",1,157498,-0.00013027922729563491,-0.00016062967762497937,0.012016239384902105,-4.302730291343032
720,"(95,98%]",1,23799,-5.9597556842971654e-05,-0.00029180814940577005,0.013137841565762389,-0.6998158762298908
720,"(98,99%]",1,8826,-0.0005066866490731556,-0.0005212315365618614,0.013905772170072304,-3.423153017568066
720,"(99,99.5%]",1,5583,-0.0003522711761014622,-0.00033623491612821965,0.014259761336640212,-1.845859607738295
720,"(99.5,99.8%]",1,3234,-0.0005584897855258477,-0.0005023080562275295,0.01448726033157575,-2.1922949223352366
720,"(99.8,100%]",1,3580,2.8060577784590272e-05,-0.00031189991625890645,0.02154545460659098,0.07792601368400141
720,"[0,.2%]",1,1622,0.007489324338962689,0.00298671997527733,0.038488962059753704,7.836675506877294
720,"(.2,.5%]",4,2901,0.004936883800907763,0.002295173181249277,0.04509716019667736,5.8962728854863276
720,"(.5,1%]",4,5438,0.002136206156933464,0.0014275218716142124,0.037683991224581145,4.180284791431901
720,"(1,2%]",4,9114,0.0017479400098291671,0.0011562270655921525,0.032628317375802234,5.1143018570159136
720,"(2,5%]",4,26375,0.0010147845589317348,0.0010706638115631772,0.029498289859456774,5.586930201299323
720,"(25,75%]",4,366684,0.00030258577734240417,0.0002065527002563794,0.023263136028905233,7.876372199860201
720,"(5,25%]",4,163860,0.0007930431389165133,0.0006737323806699225,0.02665536968687069,12.043385200083954
720,"(75,95%]",4,157468,-3.508547948867231e-05,-0.0003260515161396249,0.02374343173178284,-0.586381260102568
720,"(95,98%]",4,23794,0.00018583104905960863,-0.0005403724313533531,0.025337844663317705,1.1313118544358463
720,"(98,99%]",4,8825,-0.0006270678594820526,-0.0008233163181294856,0.026398268181771805,-2.2314977944351053
720,"(99,99.5%]",4,5580,-0.00025926181639383816,-0.0012175783507504256,0.027254221206149003,-0.7105945664594296
720,"(99.5,99.8%]",4,3233,-0.0004761325410652627,-0.001066585403016962,0.02841215369927483,-0.9528544379997794
720,"(99.8,100%]",4,3580,0.00045516451184786583,-0.0013960708557808066,0.039422332186507855,0.6908242813795181
720,"[0,.2%]",4,1622,0.012162252740962005,0.004516168544357102,0.061416518639405324,7.975432688696705
720,"(.2,.5%]",8,2900,0.005698724794099181,0.0026314064390415837,0.06375444496288722,4.813558054594026
720,"(.5,1%]",8,5433,0.004376362760325888,0.0018385425371887365,0.052798726401444104,6.109556981412666
720,"(1,2%]",8,9112,0.002643347559627983,0.0019060686716455555,0.04374935426672504,5.767524900297752
720,"(2,5%]",8,26363,0.0018917576202014386,0.0016889039013681106,0.03944304510707832,7.7873997810748365
720,"(25,75%]",8,366620,0.0005622909494784072,0.00010055580184831214,0.03264285756226488,10.429920540851
720,"(5,25%]",8,163825,0.001306503999279758,0.0009580041674601691,0.03686433966110901,14.34479588113733
720,"(75,95%]",8,157445,0.00036986539925962025,-0.0004863024801426974,0.03385032749694928,4.335560660779858
720,"(95,98%]",8,23791,0.00043777507440010804,-0.0010752688172042113,0.03585737708691284,1.8831237494272577
720,"(98,99%]",8,8824,-0.0002598418569469284,-0.0014085623779627743,0.035922349058618006,-0.6794807106781512
720,"(99,99.5%]",8,5580,0.00051861487832496,-0.0015021455999407185,0.04019571373764103,0.9637898021632919
720,"(99.5,99.8%]",8,3232,-0.0005348134859624234,-0.0019742940219359406,0.03944677172940377,-0.7707731173035529
720,"(99.8,100%]",8,3579,-0.00013825079305440893,-0.0013524393901919174,0.04468378349959253,-0.18509664268953857
720,"[0,.2%]",8,1622,0.013505364747677745,0.0050311029675146335,0.09223974390680897,5.89676274466583
720,"(.2,.5%]",24,2895,0.010400977409433064,0.006782534972445964,0.09516032912715769,5.880882491932434
720,"(.5,1%]",24,5430,0.00921017255645267,0.004615801924401697,0.08509388421207627,7.97570961961273
720,"(1,2%]",24,9099,0.0050423415032148314,0.003729024238657397,0.07415553661651003,6.4861278719535544
720,"(2,5%]",24,26349,0.0042718021541376045,0.0028941355674028113,0.06982487911821332,9.930771898514307
720,"(25,75%]",24,366374,0.0017077103690666467,0.0003222532011114554,0.06187341729091547,16.705998402327346
720,"(5,25%]",24,163725,0.0037676790381889324,0.0021623419827012658,0.06773129302211243,22.508265634971277
720,"(75,95%]",24,157314,0.0019000910494500899,-0.0006897543439755016,0.06165599306534032,12.22314044902438
720,"(95,98%]",24,23774,0.0021248359112351163,-0.0020429295763153554,0.06362847356125381,5.149025256913264
720,"(98,99%]",24,8817,0.0022421090888734576,-0.002975517890772217,0.09100318376893156,2.3134524261713385
720,"(99,99.5%]",24,5570,0.004372886936694574,-0.002246294829935769,0.0712848283058435,4.578241926785399
720,"(99.5,99.8%]",24,3226,0.0010741755319577466,-0.00456727258396411,0.07167114272449367,0.8512617277862428
720,"(99.8,100%]",24,3575,0.003292916023080546,-0.00287287526933222,0.07718462866869834,2.550867257401405
720,"[0,.2%]",24,1586,0.019785917611299796,0.007209896642235036,0.10984072357026675,7.173719688303665
720,"(.2,.5%]",72,2893,0.01430149143729461,0.0055284552845529245,0.1342860271990203,5.728286375997778
720,"(.5,1%]",72,5406,0.014260536584556244,0.00720100457585926,0.12044070747116654,8.705637712273013
720,"(1,2%]",72,9058,0.010155662615863616,0.004559318656512157,0.11357723536666173,8.510069946342991
720,"(2,5%]",72,26267,0.010196204394585085,0.0028404047576779945,0.13603754225327988,12.147446437723437
720,"(25,75%]",72,365485,0.005522640885850183,-0.000686089003798851,0.10875599614500633,30.699292865977437
720,"(5,25%]",72,163243,0.008549201678137422,0.0017606817598847524,0.1213156469768351,28.47252791375219
720,"(75,95%]",72,157080,0.00717719506570462,-0.0009565183479325889,0.11088678174326984,25.652837909076723
720,"(95,98%]",72,23765,0.010364580273911564,-0.0002896409899929564,0.12299173340123072,12.991063526496145
720,"(98,99%]",72,8812,0.0122513187203293,-0.0008097677176307494,0.12899655021917317,8.915423677299255
720,"(99,99.5%]",72,5564,0.015731404332542012,0.002815272927576662,0.13258897593299723,8.850211264328179
720,"(99.5,99.8%]",72,3225,0.01428496178136491,-0.0016590626296143496,0.14919541616410706,5.437364683536935
720,"(99.8,100%]",72,3575,0.0214339734833748,0.00388209271881923,0.15282546382462553,8.385809447601238
720,"[0,.2%]",72,1585,0.011488868327636242,0.004080244814688827,0.13303719183108678,3.4381024687423016
720,"(.2,.5%]",168,2872,0.025581512672895507,0.0030234856336608384,0.17733907911177424,7.730614023823062
720,"(.5,1%]",168,5380,0.027381695771611075,0.006870446078417025,0.17262549893959017,11.634468064782382
720,"(1,2%]",168,9014,0.0215411306359252,0.004050793103837269,0.16978010437384633,12.045933883867068
720,"(2,5%]",168,26148,0.021130217457507667,0.0037685467324064525,0.18302846776621978,18.66829094225212
720,"(25,75%]",168,363705,0.013289198023337122,-0.0021852237252860673,0.18178102950122094,44.08845195154627
720,"(5,25%]",168,162539,0.01714726038958974,0.001178075396825351,0.18958924444668906,36.463624775308475
720,"(75,95%]",168,156339,0.022887662962031447,0.00073891625615774,0.19549521054200475,46.29125897387255
720,"(95,98%]",168,23697,0.03320994594215249,0.0021389816360601888,0.21542412599112634,23.731244472221665
720,"(98,99%]",168,8795,0.03574897456184504,0.002235301685320934,0.21036823582354283,15.93680819627162
720,"(99,99.5%]",168,5549,0.03652166340487386,0.007772020725388629,0.21554638684224878,12.621679984864137
720,"(99.5,99.8%]",168,3218,0.0407379728074651,0.003286379842816989,0.2571006108380125,8.988543517203277
720,"(99.8,100%]",168,3572,0.042342535930200945,0.008254369345895518,0.22002716937534705,11.50154752209151
720,"[0,.2%]",168,1578,0.023191845375116572,0.0031088159066590126,0.1724665935798132,5.341753222061531
