M,P,exit_mode,horizon_hours,max_k,total_return,profit_factor,max_drawdown,n_trades,turnover,total_trade_cost,total_funding,n_bars,sharpe
336,0.98,median,72,3,-0.9951684604510274,0.9642269263721247,0.9970473493585016,30225,12064.0,12.064,-0.858566285,33390,-0.9038343605961997
336,0.98,median,72,5,-0.9985575298124474,0.9486629353992778,0.9987979506095617,50531,13053.066666666666,13.053066666666668,-0.8154918408333334,33390,-1.3348681239698652
336,0.98,median,72,10,-0.9996696866288394,0.9316373708965228,0.9997300073343222,79740,13656.479365079365,13.656479365079363,-0.762489925765873,33390,-1.8114360380934706
336,0.98,median,168,3,-0.9945012774231949,0.9655585911072143,0.9966271423447515,30170,12041.0,12.041,-0.858821135,33390,-0.8701399320744936
336,0.98,median,168,5,-0.9985925380335277,0.9484616575297476,0.9988271239062946,50492,13038.466666666667,13.038466666666666,-0.8159660146666667,33390,-1.3403940244628214
336,0.98,median,168,10,-0.9996832760324755,0.9311472847694481,0.9997411150872412,79704,13642.550793650793,13.642550793650793,-0.7629553735238095,33390,-1.8243485668214587
336,0.98,horizon,24,3,-0.8175403933232721,0.9983850616390809,0.9804896587367553,8338,2382.666666666667,2.382666666666667,-0.5681173416666667,33390,-0.04311012753575625
336,0.98,horizon,24,5,-0.9088209035669906,0.98595274228833,0.9742188732858823,20186,2524.4666666666662,2.5244666666666666,-0.5922145253333333,33390,-0.3796444385171616
336,0.98,horizon,24,10,-0.8752875420986584,0.9864420242380354,0.9220523786255048,62006,2767.5444444444443,2.767544444444444,-0.5732153713888889,33390,-0.36389956619996333
336,0.98,horizon,72,3,-0.9136891184493089,0.9851482133088001,0.9589627910894919,2506,670.6666666666667,0.6706666666666667,-0.49834203666666665,33390,-0.419337813157068
336,0.98,horizon,72,5,-0.9009580306092322,0.9813284300810668,0.9624236597016654,6176,672.6666666666666,0.6726666666666666,-0.4605744131666667,33390,-0.5161128745910637
336,0.98,horizon,72,10,-0.6699701202573274,0.9948965577329972,0.8453503646547337,22811,715.9166666666665,0.7159166666666665,-0.441315761484127,33390,-0.13742767901007052
336,0.98,horizon,168,3,-0.5525263785777625,1.0054679661722865,0.8368892067912401,707,188.0,0.188,-0.2429309683333333,33390,0.145836993824122
336,0.98,horizon,168,5,-0.8111332494224798,0.988913088378204,0.8575218217841375,1881,202.59999999999997,0.2026,-0.3507256438333334,33390,-0.2984096335353485
336,0.98,horizon,168,10,-0.8141188394961805,0.9819283673054707,0.8586693962933836,7934,227.08968253968249,0.22708968253968248,-0.38664958159126983,33390,-0.49056900913945
336,0.99,median,24,3,-0.8794657309304279,0.9974743860442343,0.9850629419904935,22875,10184.666666666668,10.184666666666667,-0.8708386133333333,33390,-0.058917666281589585
336,0.99,median,24,5,-0.9645522581088305,0.9824043624600621,0.9926591919187953,34751,10808.400000000001,10.808399999999999,-0.8359215051666667,33390,-0.4172438498342122
336,0.99,median,24,10,-0.9848989232986758,0.972016550861204,0.996085490577158,51561,11145.644444444446,11.145644444444445,-0.793568737813492,33390,-0.6742298297730497
336,0.99,median,72,3,-0.9288762451661732,0.991548141645834,0.9905319679989248,22199,9780.666666666668,9.780666666666667,-0.8764737133333333,33390,-0.19993183659595376
336,0.99,median,72,5,-0.9747653731526886,0.9785287854209556,0.9954448882169299,34571,10479.800000000001,10.4798,-0.8381746673333333,33390,-0.5164925557808435
336,0.99,median,72,10,-0.9864754248154388,0.9707025528822012,0.9970953696050363,51576,10796.927777777779,10.796927777777778,-0.7939921004246032,33390,-0.7139415691107523
336,0.99,median,168,3,-0.9299542914975876,0.9913675945592298,0.9898213720632493,22161,9732.666666666668,9.732666666666669,-0.876821625,33390,-0.20426217284001216
336,0.99,median,168,5,-0.976973651110748,0.9774344363233708,0.9955212693268506,34519,10430.3,10.4303,-0.8384337281666667,33390,-0.5434665922113687
336,0.99,median,168,10,-0.9878118883810071,0.9694146232074442,0.9972238609134079,51682,10760.092857142858,10.760092857142858,-0.7930636748373016,33390,-0.74588764326118
336,0.99,horizon,24,3,-0.9858319615992646,0.9743208145708749,0.9936624935546817,9648,2937.666666666667,2.937666666666667,-0.7390057383333333,33390,-0.6757112714721816
336,0.99,horizon,24,5,-0.9731022068436967,0.9746535681015926,0.980671201586728,21923,3131.5666666666666,3.1315666666666666,-0.663051772,33390,-0.6862379601908621
336,0.99,horizon,24,10,-0.913340255735647,0.9851573745455621,0.9660030407071616,55961,3367.7825396825397,3.3677825396825396,-0.6132138126706349,33390,-0.3952711152619145
336,0.99,horizon,72,3,-0.9818823543584241,0.9704091544681621,0.9824964135613622,3375,894.6666666666667,0.8946666666666667,-0.418768995,33390,-0.8006240927920426
