lookback_days,vol_norm,bucket,horizon_hours,count,mean,median,std,t_stat
30,False,0.0,1,59536,8.601335599166338e-05,8.537612271197759e-05,0.0128562484626757,1.6324559161170618
30,False,1.0,1,82027,0.00015270957494,0.0001477541371159,0.0122751219330247,3.5630249838648407
30,False,2.0,1,76654,7.231572518756554e-05,0.0001314811257481,0.0117488723126107,1.7041349089256814
30,False,3.0,1,80107,0.0001025001025168,0.0001385809312637,0.0119084559001172,2.436150311428501
30,False,4.0,1,81060,3.391825875356336e-05,9.804886225006636e-05,0.0117974604771225,0.81855585181364
30,False,5.0,1,77481,8.75902907268057e-05,0.0001189673632866,0.0117983237795649,2.0664898010022323
30,False,6.0,1,75341,7.772873958502336e-05,3.548993860236216e-05,0.0122348630165238,1.7438061472241997
30,False,7.0,1,81420,9.569570820853949e-05,0.0,0.0124978661466286,2.184852589971196
30,False,8.0,1,77261,0.0001424549476862,0.0,0.0141092245685584,2.8064321965653725
30,False,9.0,1,89481,0.0002150594232484,-4.112180277993094e-05,0.0167375233695188,3.843551413732547
30,False,0.0,4,59527,0.0002536474820235,0.0003058103975535,0.0250069182253906,2.47472747158544
30,False,1.0,4,82015,0.000452122731765,0.0004211708549768,0.0235181459549401,5.505539797040829
30,False,2.0,4,76642,0.0002839331518493,0.0003202204009696,0.0228927078065634,3.4336209722216755
30,False,3.0,4,80098,0.0003023053294835,0.0003531073446327,0.0228211656672541,3.7490291395055775
30,False,4.0,4,81048,0.0002038238623093,0.0001888401885299,0.0231076396267107,2.511138069665261
30,False,5.0,4,77469,0.0003203652682132,0.0002947678703022,0.0227313590973039,3.922690096237182
30,False,6.0,4,75332,0.000374573368066,0.0001353271688826,0.0239468584507061,4.293170117780763
30,False,7.0,4,81408,0.0003833380518363,8.164807639132743e-05,0.0240034319553393,4.556612880399586
30,False,8.0,4,77249,0.0005221785695195,0.0,0.0273170386407003,5.312902674399951
30,False,9.0,4,89469,0.0009160649164225,-0.0002392344497607,0.0325615630924117,8.415061566582224
30,False,0.0,8,59515,0.0004393078988034,0.0001382552191344,0.0344121196525912,3.11437429834274
30,False,1.0,8,81999,0.0008395647494522,0.0006669630947087,0.0325602690608343,7.383639572404446
30,False,2.0,8,76626,0.0005600653225588,0.0003183193468044,0.0319011166184933,4.859827747291589
30,False,3.0,8,80086,0.0005751740793767,0.0003259986818175,0.0317248774524428,5.130712200644671
30,False,4.0,8,81032,0.0004119183523786,0.0001883159730847,0.0322214421524673,3.639103824529324
30,False,5.0,8,77453,0.0005539774527608,0.0003964059196617,0.0317516507322164,4.85562235637924
30,False,6.0,8,75320,0.0007763331978479,0.0,0.0330886445043504,6.439087656993096
30,False,7.0,8,81392,0.0007526679780461,0.0,0.033404007548389,6.4282939319145305
30,False,8.0,8,77233,0.0010473199035525,0.0,0.0381866813624873,7.621999080184413
30,False,9.0,8,89453,0.0018221298941059,-0.0005210475798711,0.0464409584452729,11.734797894499746
30,False,0.0,24,59467,0.0012967691449585,7.280669821629893e-05,0.060999309767903,5.184128554295122
30,False,1.0,24,81935,0.0026239334705047,0.001469867711906,0.0576008025699425,13.03944220523582
30,False,2.0,24,76562,0.0012595466610459,0.0005506987015838,0.0545171643198551,6.392748775550323
30,False,3.0,24,80038,0.0017175630192543,0.0010177278158114,0.0560122791024711,8.675161140448092
30,False,4.0,24,80968,0.0011951454098881,0.0005412969875281,0.0559922662289167,6.073645058344456
30,False,5.0,24,77389,0.0025357568827165,0.0011060417530761,0.073915250299376,9.543620875887452
30,False,6.0,24,75272,0.0024223072269012,0.0001940696042455,0.0603539580126303,11.01134059790158
30,False,7.0,24,81328,0.002326729074023,0.0003629222884206,0.0606158846330973,10.946604193497974
30,False,8.0,24,77169,0.0038321867194781,0.0004756242568371,0.0757836524276608,14.04729054728526
30,False,9.0,24,89389,0.0048727368274334,-0.0008948694153519,0.0810877826820007,17.96633819871929
30,False,0.0,72,59323,0.0037479948126848,-0.0014556040756914,0.1024334727029439,8.91186578789514
30,False,1.0,72,81743,0.0061820834698862,0.0007545746085644,0.1042094143392355,16.96106801241359
30,False,2.0,72,76370,0.0040342333264523,0.0,0.094231148599846,11.831176224478831
30,False,3.0,72,79894,0.0044600493928403,0.0004908224347336,0.094853925623007,13.29050372959859
30,False,4.0,72,80776,0.0043941137927501,9.524723969878136e-05,0.101218480259022,12.338224233439131
30,False,5.0,72,77197,0.010069091175188,0.0015299710398339,0.1512724970314153,18.49398534904856
30,False,6.0,72,75128,0.0080328710404644,0.0011490512982516,0.1050679363271523,20.955667859757572
30,False,7.0,72,81136,0.0068138587709662,-0.0003539703314568,0.1124705326628267,17.2568360251765
30,False,8.0,72,76977,0.0106982760748237,0.0007017543859648,0.1202652791425225,24.680504217941916
30,False,9.0,72,89197,0.0123025115143496,-0.0027671884977842,0.138389061929326,26.55015975462729
30,False,0.0,168,59035,0.0108486925913542,-0.0021176087310637,0.1677234530441296,15.715868708602262
30,False,1.0,168,81359,0.0151783696064692,0.0002934702861334,0.165803874848311,26.11158587000264
30,False,2.0,168,75986,0.0107020356232395,-0.0018796573453933,0.165551272004191,17.819711227667135
30,False,3.0,168,79606,0.014151037529491,-0.0001749820333408,0.175195479928155,22.78968313113695
30,False,4.0,168,80392,0.0121037943316515,0.0003261844594796,0.1581102820765434,21.705402247613453
30,False,5.0,168,76813,0.0232698293576182,0.0020868905331057,0.2173040664418306,29.6785520395878
30,False,6.0,168,74840,0.0228187646884439,0.000882193187499,0.2043160573285776,30.55318711633542
30,False,7.0,168,80752,0.0198262097869118,0.0005541609998677,0.1952968331316086,28.848360730351377
30,False,8.0,168,76593,0.0228756502571616,0.0004662004662006,0.1914287116124502,33.07203446229778
30,False,9.0,168,88813,0.0242040285899281,-0.0035689773507205,0.2212050595057473,32.608503728311725
14,True,0.0,1,59536,5.511765349628792e-05,0.0001431238925027,0.0117750344796068,1.1421374159359006
14,True,1.0,1,82027,0.0001059596226424,0.0001580028440513,0.0117335131720814,2.5863705820702085
14,True,2.0,1,76654,8.074527352098008e-05,0.0001245175183579,0.0119603222921251,1.869139169281467
14,True,3.0,1,80107,0.0001235446589036,0.0001210946960523,0.0119369888772756,2.9293038295145664
14,True,4.0,1,81060,5.751191763954107e-05,0.000139686064546,0.0119493296999695,1.370306141713503
14,True,5.0,1,77481,7.935043938893347e-05,6.664889362850701e-05,0.011901240316826,1.8559006323641996
14,True,6.0,1,75342,0.0001093132028106,5.699244953261129e-05,0.0128479787941547,2.335373674143374
14,True,7.0,1,81419,4.814088397563037e-05,0.0,0.0125823406126185,1.091730654594094
14,True,8.0,1,77261,0.0001508535937667,0.0,0.0141711121581618,2.958910901861232
14,True,9.0,1,89481,0.0002475968302364,-4.3305040706709264e-05,0.0168257443374845,4.401859832775221
14,True,0.0,4,59527,9.697057333691056e-05,0.0003527336860669,0.0229383227168608,1.0314194166211517
14,True,1.0,4,82015,0.0003107460118566,0.0004428697962799,0.0227784985644209,3.906853388297424
14,True,2.0,4,76642,0.0002676013401727,0.0002985939803509,0.0229027792594253,3.234696297440276
14,True,3.0,4,80098,0.000402657978775,0.0003352177788262,0.0231576949426682,4.920982454614495
