form,x,exit_frac,m_events,k_max,filter,total_return,profit_factor,max_drawdown,n_trades,turnover,total_funding,sharpe,stress_total_return,eligible,phase
abs,8.0,0.25,6,10,trend72,-0.7960122504909216,0.9864865211653772,0.9651687571895406,9502,1885.534126984127,-0.7950050383095237,-0.2013645828904613,,False,preregistered
abs,8.0,0.5,1,3,none,0.7721995951384493,1.0371827890680596,0.8746674775587275,2921,1349.0,-1.53258081,0.6231595207612182,,False,preregistered
abs,8.0,0.5,1,3,trend72,-0.2746727233931508,1.0179426444355817,0.8842547065292647,4460,2154.333333333333,-0.8399885149999999,0.2247606417441364,,False,preregistered
abs,8.0,0.5,1,5,none,0.2112828140323124,1.0294092987573549,0.9104299442820832,3528,1232.4,-1.4821664991666663,0.497307115450547,,False,preregistered
abs,8.0,0.5,1,5,trend72,-0.3357552272060428,1.0146503866716612,0.885773284994271,5948,2123.6333333333337,-0.8320865241666667,0.1835945296128758,,False,preregistered
abs,8.0,0.5,1,10,none,0.4899659381488797,1.0329745576947276,0.90029446139179,4573,1114.6968253968255,-1.4357578505674606,0.5535502759697504,,False,preregistered
abs,8.0,0.5,1,10,trend72,-0.3925373843726072,1.0115946904786834,0.889960975572025,8758,2113.692857142857,-0.82368670375,0.145422622955385,,False,preregistered
abs,8.0,0.5,3,3,none,1.8810681529130295,1.0445873081286663,0.8801926939357152,1428,637.3333333333333,-1.4172338183333333,0.7501946914998242,,False,preregistered
abs,8.0,0.5,3,3,trend72,-0.6242151562410534,0.9976527749389716,0.92160272078888,3765,1754.0,-0.8147166933333333,-0.0312354586814286,,False,preregistered
abs,8.0,0.5,3,5,none,2.3507627983527764,1.047189167183651,0.8313440292578098,1782,577.9,-1.3605406273333336,0.7960706935685152,,False,preregistered
abs,8.0,0.5,3,5,trend72,-0.5692735399158837,1.000811388527009,0.9062507921858476,5310,1751.2333333333331,-0.7999012746666667,0.0107517839225884,,False,preregistered
abs,8.0,0.5,3,10,none,2.3625535742324124,1.0473940616082211,0.8178538023459583,2430,515.0055555555556,-1.3150209531825396,0.7973890286267995,,False,preregistered
abs,8.0,0.5,3,10,trend72,-0.5825047590869575,0.9997150230195828,0.9099247190652748,8609,1761.9499999999998,-0.7871344107222222,-0.003775000487481,,False,preregistered
abs,8.0,0.5,6,3,none,1.2041606938480394,1.0403523483131358,0.9315729481574752,817,354.33333333333337,-1.3541032716666668,0.6668077919459595,,False,preregistered
abs,8.0,0.5,6,3,trend72,-0.687455220553807,0.9921315751748164,0.9350431596324168,3409,1576.0,-0.7791511716666667,-0.1061910208843083,,False,preregistered
abs,8.0,0.5,6,5,none,2.1032972610545846,1.0465874405779556,0.8797669840400804,1079,333.20000000000005,-1.3025395498333334,0.7709154609360354,,False,preregistered
abs,8.0,0.5,6,5,trend72,-0.7325411108652635,0.9867513608956274,0.939755579322514,4901,1591.8000000000002,-0.7662523990000001,-0.179435457265413,,False,preregistered
abs,8.0,0.5,6,10,none,2.428208475257568,1.0487079050496029,0.8690765194468577,1443,294.51746031746035,-1.270852310519841,0.8030407981544538,,False,preregistered
abs,8.0,0.5,6,10,trend72,-0.704522651048835,0.9892774670183188,0.9368431716823692,8045,1597.514285714286,-0.7523549595674603,-0.1450222769024145,,False,preregistered
abs,8.0,1.0,1,3,none,0.3164452867993994,1.0331610907973463,0.842932668678518,2921,1495.333333333333,-1.4115059766666669,0.5109452941342957,,False,preregistered
abs,8.0,1.0,1,3,trend72,-0.2001576485767013,1.0225763529836076,0.8314395237044737,3739,1948.666666666667,-0.7622452999999999,0.2532937376179819,,False,preregistered
abs,8.0,1.0,1,5,none,0.0624506963534536,1.0276863833919705,0.8703006251405156,3599,1439.5,-1.366546263,0.4295313079406691,,False,preregistered
abs,8.0,1.0,1,5,trend72,-0.2072002196635806,1.0219157546553388,0.8287589473663325,4842,1922.5666666666664,-0.757723413,0.2451591724618234,,False,preregistered
abs,8.0,1.0,1,10,none,0.1204571026979153,1.028468895587342,0.8693836694550149,4729,1396.3142857142857,-1.3317956174365078,0.4396026726742445,,False,preregistered
abs,8.0,1.0,1,10,trend72,-0.2480216343528872,1.0198575567959216,0.8394823323370786,6771,1928.131746031746,-0.753196331515873,0.2221328197357935,,False,preregistered
abs,8.0,1.0,3,3,none,0.3967931001413454,1.034807919299931,0.9194692492544008,1481,740.0,-1.3380315016666666,0.5159817921045075,,False,preregistered
abs,8.0,1.0,3,3,trend72,-0.5289757177673651,1.003395563406822,0.9182107565792942,2984,1462.0,-0.7331520166666666,0.038278805065487,,False,preregistered
abs,8.0,1.0,3,5,none,0.5636454315508432,1.036619833516652,0.8896413876858361,1856,710.7333333333333,-1.2939047211666663,0.5432465774181411,,False,preregistered
abs,8.0,1.0,3,5,trend72,-0.4511732567284116,1.0081709216451011,0.8994335488301549,4175,1464.3000000000002,-0.7224641843333333,0.0916570671676291,,False,preregistered
abs,8.0,1.0,3,10,none,0.5657598779014095,1.0364746303812906,0.884904480447096,2721,698.895238095238,-1.259894588436508,0.5390741233057624,,False,preregistered
abs,8.0,1.0,3,10,trend72,-0.4801521804154955,1.0061018814044802,0.9026234441499624,6470,1486.4873015873015,-0.7158440938293651,0.0684867869033124,,False,preregistered
abs,8.0,1.0,6,3,none,-0.4047785702838113,1.0154805548360366,0.9459348615903076,833,402.33333333333326,-1.2342384583333337,0.220180722547713,,False,preregistered
abs,8.0,1.0,6,3,trend72,-0.7792435122898882,0.9764315803233652,0.9320670504511628,2639,1223.6666666666667,-0.6896310883333334,-0.2599667236219355,,False,preregistered
abs,8.0,1.0,6,5,none,-0.1466348917480813,1.0227257917149375,0.9118751801717944,1116,392.4333333333333,-1.1910478838333334,0.3227711539068634,,False,preregistered
abs,8.0,1.0,6,5,trend72,-0.7939904127951779,0.9725726979938056,0.9349233947366492,3945,1244.3333333333337,-0.6795838633333333,-0.30217208808361,,False,preregistered
abs,8.0,1.0,6,10,none,-0.1487949495564063,1.0220905129634352,0.91086601138592,1684,378.6571428571429,-1.166421099607143,0.3121359986491558,,False,preregistered
abs,8.0,1.0,6,10,trend72,-0.7893765104479453,0.9728846593755076,0.9336004487092564,6588,1263.8031746031747,-0.6721140092936508,-0.298486922460026,,False,preregistered
abs,12.0,0.25,1,3,none,1.207388548491581,1.0445468900688992,0.819945558266675,1834,824.6666666666666,-1.3592118416666668,0.6669770547067894,,False,preregistered
abs,12.0,0.25,1,3,trend72,-0.0388740585840095,1.035699582863055,0.882411306885043,3184,1506.3333333333333,-0.7496953516666667,0.3509445821503869,,False,preregistered
abs,12.0,0.25,1,5,none,0.7927060225453952,1.03990063997334,0.8451348486818813,2234,730.2666666666668,-1.3175604578333333,0.5964423485322836,,False,preregistered
abs,12.0,0.25,1,5,trend72,-0.1147737110041153,1.0326430068032235,0.8817635419345026,4452,1479.2666666666669,-0.7413269575000001,0.3195149679702516,,False,preregistered
